site,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
stackpole,1975,7.1,7.8,8.0,9.5,7.5,8.6,13.4,14.8,14.0,12.5,11.0,9.1
stackpole,1976,9.6,8.0,9.2,11.4,8.4,9.1,,12.6,9.2,9.5,9.4,8.9
stackpole,1977,8.2,9.4,11.0,9.1,10.3,9.2,11.8,12.5,10.3,11.4,8.6,8.2
stackpole,1978,8.0,4.5,8.7,10.6,9.1,10.6,7.3,10.3,9.9,,10.3,6.6
stackpole,1979,10.0,8.9,,,,,,,,,5.7,7.4
stackpole,1980,6.6,5.2,8.5,7.4,8.6,7.7,,,,12.0,9.8,5.4
stackpole,1981,5.1,8.6,5.3,10.6,8.3,6.6,,,,6.8,6.1,6.9
stackpole,1982,,7.2,,6.2,,,,,,,,
stackpole,1983,,,,,,,,,5.7,5.2,5.3,
stackpole,1984,5.1,5.1,5.2,,6.8,8.1,8.3,,8.2,7.4,8.3,10.4
stackpole,1985,8.6,6.4,8.3,,8.6,8.4,,12.7,11.0,,7.5,6.5
stackpole,1986,9.1,8.0,,5.8,5.4,,,,,7.0,11.5,8.0
stackpole,1987,6.5,6.5,6.6,6.7,6.7,8.4,8.0,9.0,10.0,8.8,7.5,8.5
stackpole,1988,10.1,8.6,10.3,10.3,12.0,10.6,8.3,9.1,10.3,9.5,7.4,7.8
stackpole,1989,8.0,8.0,8.6,9.6,8.9,9.6,,7.5,7.7,8.8,7.5,6.6
stackpole,1990,6.7,6.4,6.0,6.0,8.4,6.5,3.1,10.0,11.1,8.7,6.1,4.1
stackpole,1991,4.8,8.0,5.3,7.1,8.4,7.5,11.0,11.7,3.7,5.3,5.5,5.6
stackpole,1992,4.7,5.8,4.5,5.2,5.6,10.2,5.7,5.6,6.0,,8.0,7.2
stackpole,1993,7.9,6.4,9.0,9.7,7.5,8.4,11.7,9.5,8.7,9.6,10.3,5.3
stackpole,1994,7.9,9.9,7.3,,9.6,9.9,10.6,8.6,4.8,6.3,8.0,7.5
